Study ID	Patient ID	Sample ID	MDM2: mRNA expression z-scores relative to normal samples (log RNA Seq V2 RSEM)
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11N	TCGA-B5-A11N-01	-0.0112
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11O	TCGA-B5-A11O-01	2.996
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11P	TCGA-B5-A11P-01	1.6735
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11Q	TCGA-B5-A11Q-01	1.4813
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11R	TCGA-B5-A11R-01	2.8487
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11S	TCGA-B5-A11S-01	1.8671
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11U	TCGA-B5-A11U-01	0.164
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11V	TCGA-B5-A11V-01	2.5601
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11W	TCGA-B5-A11W-01	3.31
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11X	TCGA-B5-A11X-01	0.9416
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11Y	TCGA-B5-A11Y-01	1.6139
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A11Z	TCGA-B5-A11Z-01	1.2224
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A121	TCGA-B5-A121-01	3.169
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A1MR	TCGA-B5-A1MR-01	0.5813
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A1MS	TCGA-B5-A1MS-01	-0.405
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A1MU	TCGA-B5-A1MU-01	-0.1894
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A1MV	TCGA-B5-A1MV-01	1.586
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A1MW	TCGA-B5-A1MW-01	1.193
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A1MX	TCGA-B5-A1MX-01	1.1943
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A1MY	TCGA-B5-A1MY-01	-0.4093
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A1MZ	TCGA-B5-A1MZ-01	2.9772
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A1N2	TCGA-B5-A1N2-01	0.3903
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A3F9	TCGA-B5-A3F9-01	1.0617
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A3FA	TCGA-B5-A3FA-01	0.8086
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A3FB	TCGA-B5-A3FB-01	2.0327
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A3FC	TCGA-B5-A3FC-01	1.9783
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A3FD	TCGA-B5-A3FD-01	0.9277
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A3FH	TCGA-B5-A3FH-01	1.631
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A3S1	TCGA-B5-A3S1-01	0.8311
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A5OC	TCGA-B5-A5OC-01	1.7674
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A5OD	TCGA-B5-A5OD-01	-0.9818
ucec_tcga_pan_can_atlas_2018	TCGA-B5-A5OE	TCGA-B5-A5OE-01	-1.2936
ucec_tcga_pan_can_atlas_2018	TCGA-BG-A0LW	TCGA-BG-A0LW-01	1.1919
ucec_tcga_pan_can_atlas_2018	TCGA-BG-A0LX	TCGA-BG-A0LX-01	0.9761
ucec_tcga_pan_can_atlas_2018	TCGA-BG-A0M0	TCGA-BG-A0M0-01	1.0839
ucec_tcga_pan_can_atlas_2018	TCGA-BG-A0M2	TCGA-BG-A0M2-01	4.7555
ucec_tcga_pan_can_atlas_2018	TCGA-BG-A0M3	TCGA-BG-A0M3-01	0.1855
ucec_tcga_pan_can_atlas_2018	TCGA-BG-A0M4	TCGA-BG-A0M4-01	1.1489
ucec_tcga_pan_can_atlas_2018	TCGA-BG-A0M6	TCGA-BG-A0M6-01	-0.7074
ucec_tcga_pan_can_atlas_2018	TCGA-BG-A0M7	TCGA-BG-A0M7-01	0.194
ucec_tcga_pan_can_atlas_2018	TCGA-BG-A0M9	TCGA-BG-A0M9-01	1.7253
